job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,distmult.entity_embedder.regularize_weight,distmult.relation_embedder.regularize_weight,distmult.entity_embedder.dropout,distmult.relation_embedder.dropout
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0270265576920781,0,08e52141,512,negative_sampling,Adam,se,0.014125511440154895,7,128,normal_,lp,False,2.1718787318241999e-13,2.9377665716486074e-05,0.2625714801251888,0.24494058499112725
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0750643786014349,1,5a8c8f13,512,KvsAll,AdamW,kl,0.000609065478946892,4,32,uniform_,lp,True,5.02700693582018e-18,4.680829572859134e-19,0.1661879252642393,0.035967723466455936
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,negative_sampling,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0665302319140091,2,3b987b98,128,negative_sampling,Adamax,kl,0.09613456199226267,10,128,xavier_normal_,,False,0.004714602248474383,1.5302293865255622e-06,0.49201891431584954,0.318780445959419
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,1vsAll,valid,20,,,,mean_reciprocal_rank_filtered_with_test,0.0347550822250975,3,d023da03,128,1vsAll,RMSprop,se,0.026992096364275884,8,256,uniform_,lp,False,7.599943802411532e-15,4.774237362547718e-10,0.015406627673655748,0.07164704287424684
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0006944379912347,4,089c4d35,512,negative_sampling,Adadelta,kl,0.0013014689950174678,6,64,xavier_uniform_,,True,8.060630711127372e-11,7.190952293186328e-18,0.33029231056571007,0.29287360794842243
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.036840234716092,5,ab7dddcf,256,1vsAll,Adamax,bce,0.00239232273444163,9,64,uniform_,lp,False,3.390107985363295e-06,0.00046608954176831846,0.23905382864177227,0.4901199690066278
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0661303849967478,6,57bd4724,128,KvsAll,RMSprop,bce,0.38393601614623807,3,256,xavier_normal_,lp,True,5.082225612925351e-20,2.6363593995076824e-15,0.41523889312520623,0.14779989141970873
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,negative_sampling,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0561564646315969,7,a09bfa50,128,negative_sampling,RMSprop,bce,0.003805760827546042,6,64,xavier_normal_,lp,True,2.738366096093651e-07,6.380101182122245e-20,0.1916172499768436,0.2616232791915536
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0555788341606978,8,fcb384f2,256,KvsAll,Adadelta,se,0.6097148187633208,8,512,normal_,,False,2.7980137803060014e-11,1.3134489645092096e-08,0.4001833712682128,0.10289051523432136
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,negative_sampling,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.0639014921153811,9,0a9e41d3,512,negative_sampling,AdamW,kl,0.047245126475673915,3,256,uniform_,lp,True,2.0055028987293573e-16,3.524029315540061e-13,0.0617486285045743,0.1790511142462492
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,KvsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0009265333779055,10,8029aab3,128,KvsAll,Adam,bce,0.0022718013834576757,9,32,xavier_uniform_,lp,False,0.012214154200593283,1.4275594046916262e-05,0.34645814960822463,0.4588773907162249
74441272,/bp1/mrcieu1/users/fu19841/kge/data/selfloops,distmult,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0711231258739415,11,75adb6d3,128,negative_sampling,RMSprop,kl,0.00038590776468881146,7,128,normal_,lp,False,1.369337429279012e-14,0.057864925198368375,0.1511874790303409,0.21368507063016295
