[4b228e9f]   split: valid
[4b228e9f]   timestamp: 1692283326.825351
[4b228e9f]   type: entity_ranking
[4b228e9f] Finished evaluating on valid split.
[a85855aa] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154228-complex_selfloops/00026/checkpoint_00255.pt...
[a85855aa] Removing old checkpoint /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154228-complex_selfloops/00026/checkpoint_00254.pt...
[a85855aa] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154228-complex_selfloops/00026/checkpoint_best.pt...
[a85855aa] Starting epoch 256...

[a85855aa]   batch   47/4534, avg_loss 3.0447E+00, penalty 9.0030E-02, cost 3.1348E+00, time   0.01s[K
[a85855aa]   batch   48/4534, avg_loss 3.1335E+00, penalty 4.4412E-02, cost 3.1779E+00, time   0.01s[K
[a85855aa]   batch   49/4534, avg_loss 3.1076E+00, penalty 8.9791E-02, cost 3.1974E+00, time   0.01s[K
[a85855aa]   batch   50/4534, avg_loss 3.0940E+00, penalty 6.2326E-02, cost 3.1563E+00, time   0.01s[K
[a85855aa]   batch   51/4534, avg_loss 3.2140E+00, penalty 5.3096E-02, cost 3.2671E+00, time   0.01s[K
[a85855aa]   batch   52/4534, avg_loss 2.9527E+00, penalty 5.1245E-02, cost 3.0039E+00, time   0.01s[K
[a85855aa]   batch   53/4534, avg_loss 3.0976E+00, penalty 9.2098E-02, cost 3.1897E+00, time   0.01s[K
[a85855aa]   batch   54/4534, avg_loss 3.1595E+00, penalty 6.5768E-02, cost 3.2253E+00, time   0.01s[K
[a85855aa]   batch   55/4534, avg_loss 1.0386E+01, penalty 1.2047E-01, cost 1.0506E+01, time   0.01s[K
[a85855aa]   batch   56/4534, avg_loss 3.0213E+00, penalty 9.2161E-02, cost 3.1135E+00, time   0.01s[K
[a85855aa]   batch   57/4534, avg_loss 2.9354E+00, penalty 5.6007E-02, cost 2.9914E+00, time   0.01s[K
[a85855aa]   batch   58/4534, avg_loss 3.2350E+00, penalty 8.7128E-02, cost 3.3221E+00, time   0.01s[K
[a85855aa]   batch   59/4534, avg_loss 3.2129E+00, penalty 4.8910E-02, cost 3.2618E+00, time   0.01s[K
[a85855aa]   batch   60/4534, avg_loss 3.2989E+00, penalty 1.0517E-01, cost 3.4041E+00, time   0.01s[K
[a85855aa]   batch   61/4534, avg_loss 3.1817E+00, penalty 7.6210E-02, cost 3.2579E+00, time   0.01s[K
[a85855aa]   batch   62/4534, avg_loss 3.1956E+00, penalty 7.0385E-02, cost 3.2660E+00, time   0.01s[K
[a85855aa]   batch   63/4534, avg_loss 3.2678E+00, penalty 6.8170E-02, cost 3.3360E+00, time   0.01s[K
[a85855aa]   batch   64/4534, avg_loss 3.1732E+00, penalty 7.3793E-02, cost 3.2470E+00, time   0.01s[K
[a85855aa]   batch   65/4534, avg_loss 3.0605E+00, penalty 6.3007E-02, cost 3.1235E+00, time   0.01s[K
[a85855aa]   batch   66/4534, avg_loss 2.9189E+00, penalty 3.7657E-02, cost 2.9565E+00, time   0.01s[K
[a85855aa]   batch   67/4534, avg_loss 3.2764E+00, penalty 9.9378E-02, cost 3.3757E+00, time   0.01s[K
[a85855aa]   batch   68/4534, avg_loss 3.2789E+00, penalty 6.0937E-02, cost 3.3398E+00, time   0.01s[K
[a85855aa]   batch   69/4534, avg_loss 3.4405E+00, penalty 6.8200E-02, cost 3.5087E+00, time   0.01s[K
[a85855aa]   batch   70/4534, avg_loss 3.2780E+00, penalty 7.3542E-02, cost 3.3516E+00, time   0.01s[K
[a85855aa]   batch   71/4534, avg_loss 3.0955E+00, penalty 8.1341E-02, cost 3.1769E+00, time   0.01s[K
[a85855aa]   batch   72/4534, avg_loss 3.4338E+00, penalty 5.8351E-02, cost 3.4921E+00, time   0.01s[K
[a85855aa]   batch   73/4534, avg_loss 3.1313E+00, penalty 8.1334E-02, cost 3.2127E+00, time   0.01s[K
[a85855aa]   batch   74/4534, avg_loss 3.2753E+00, penalty 9.7027E-02, cost 3.3723E+00, time   0.01s[K
[a85855aa]   batch   75/4534, avg_loss 3.0430E+00, penalty 2.3353E-02, cost 3.0664E+00, time   0.01s[K
[a85855aa]   batch   76/4534, avg_loss 3.1143E+00, penalty 1.0097E-01, cost 3.2153E+00, time   0.01s[K
[a85855aa]   batch   77/4534, avg_loss 3.0653E+00, penalty 5.9727E-02, cost 3.1250E+00, time   0.01s[K
[a85855aa]   batch   78/4534, avg_loss 3.3364E+00, penalty 1.1392E-01, cost 3.4504E+00, time   0.01s[K
[a85855aa]   batch   79/4534, avg_loss 3.1602E+00, penalty 1.2088E-01, cost 3.2811E+00, time   0.01s[K
[a85855aa]   batch   80/4534, avg_loss 3.1679E+00, penalty 5.9207E-02, cost 3.2271E+00, time   0.01s[K
[a85855aa]   batch   81/4534, avg_loss 2.9676E+00, penalty 5.0431E-02, cost 3.0180E+00, time   0.01s[K
[a85855aa]   batch   82/4534, avg_loss 3.1048E+00, penalty 9.0943E-02, cost 3.1958E+00, time   0.01s[K
[a85855aa]   batch   83/4534, avg_loss 2.9596E+00, penalty 3.8359E-02, cost 2.9979E+00, time   0.01s[K
[a85855aa]   batch   84/4534, avg_loss 2.9760E+00, penalty 7.8008E-02, cost 3.0540E+00, time   0.01s[K
[a85855aa]   batch   85/4534, avg_loss 3.2810E+00, penalty 1.0056E-01, cost 3.3816E+00, time   0.01s[K
[a85855aa]   batch   86/4534, avg_loss 2.8321E+00, penalty 5.5019E-02, cost 2.8872E+00, time   0.01s[K
[a85855aa]   batch   87/4534, avg_loss 2.9653E+00, penalty 4.9173E-02, cost 3.0144E+00, time   0.01s[K
[a85855aa]   batch   88/4534, avg_loss 3.1962E+00, penalty 8.4496E-02, cost 3.2807E+00, time   0.01s[K
[a85855aa]   batch   89/4534, avg_loss 3.1078E+00, penalty 6.5732E-02, cost 3.1735E+00, time   0.01s[K
[a85855aa]   batch   90/4534, avg_loss 3.0404E+00, penalty 7.0549E-02, cost 3.1109E+00, time   0.01s[K
[a85855aa]   batch   91/4534, avg_loss 3.1126E+00, penalty 4.4325E-02, cost 3.1569E+00, time   0.01s[K
[a85855aa]   batch   92/4534, avg_loss 3.2957E+00, penalty 8.0122E-02, cost 3.3758E+00, time   0.01s[K
[a85855aa]   batch   93/4534, avg_loss 3.3411E+00, penalty 9.8352E-02, cost 3.4395E+00, time   0.01s[K
[a85855aa]   batch   94/4534, avg_loss 3.0121E+00, penalty 7.6977E-02, cost 3.0891E+00, time   0.01s[K
