[5b691437]   size: 5175638
[5b691437]   split: train
[5b691437]   timestamp: 1693685678.7132297
[5b691437]   type: negative_sampling
[5b691437] Finished epoch 21.
[5b691437] Saving checkpoint to kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00021.pt...
[5b691437] Removing old checkpoint kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00005.pt...
[5b691437] Starting epoch 22...

[5b691437]   batch    49/40434, avg_loss 2.8322E+02, penalty 1.3649E+02, cost 4.1971E+02, time   0.07s[K
[5b691437]   batch    50/40434, avg_loss 3.6643E+02, penalty 1.3649E+02, cost 5.0291E+02, time   0.07s[K
[5b691437]   batch    51/40434, avg_loss 1.9986E+02, penalty 1.3649E+02, cost 3.3635E+02, time   0.07s[K
[5b691437]   batch    52/40434, avg_loss 3.1754E+02, penalty 1.3649E+02, cost 4.5403E+02, time   0.07s[K
[5b691437]   batch    53/40434, avg_loss 3.3873E+02, penalty 1.3649E+02, cost 4.7522E+02, time   0.07s[K
[5b691437]   batch    54/40434, avg_loss 2.3148E+02, penalty 1.3649E+02, cost 3.6797E+02, time   0.07s[K
[5b691437]   batch    55/40434, avg_loss 3.0304E+02, penalty 1.3649E+02, cost 4.3953E+02, time   0.07s[K
[5b691437]   batch    56/40434, avg_loss 3.1115E+02, penalty 1.3649E+02, cost 4.4764E+02, time   0.07s[K
[5b691437]   batch    57/40434, avg_loss 2.8190E+02, penalty 1.3649E+02, cost 4.1839E+02, time   0.07s[K
[5b691437]   batch    58/40434, avg_loss 5.5203E+02, penalty 1.3649E+02, cost 6.8852E+02, time   0.07s[K
[5b691437]   batch    59/40434, avg_loss 3.1910E+02, penalty 1.3649E+02, cost 4.5559E+02, time   0.07s[K
[5b691437]   batch    60/40434, avg_loss 4.2435E+02, penalty 1.3649E+02, cost 5.6084E+02, time   0.07s[K
[5b691437]   batch    61/40434, avg_loss 2.8920E+02, penalty 1.3649E+02, cost 4.2569E+02, time   0.07s[K
[5b691437]   batch    62/40434, avg_loss 2.0998E+02, penalty 1.3649E+02, cost 3.4647E+02, time   0.07s[K
[5b691437]   batch    63/40434, avg_loss 4.7857E+02, penalty 1.3649E+02, cost 6.1506E+02, time   0.07s[K
[5b691437]   batch    64/40434, avg_loss 3.5305E+02, penalty 1.3649E+02, cost 4.8954E+02, time   0.07s[K
[5b691437]   batch    65/40434, avg_loss 2.8189E+02, penalty 1.3649E+02, cost 4.1837E+02, time   0.07s[K
[5b691437]   batch    66/40434, avg_loss 3.3005E+02, penalty 1.3649E+02, cost 4.6653E+02, time   0.07s[K
[5b691437]   batch    67/40434, avg_loss 2.6147E+02, penalty 1.3649E+02, cost 3.9796E+02, time   0.07s[K
[5b691437]   batch    68/40434, avg_loss 2.5286E+02, penalty 1.3649E+02, cost 3.8934E+02, time   0.07s[K
[5b691437]   batch    69/40434, avg_loss 3.0876E+02, penalty 1.3649E+02, cost 4.4525E+02, time   0.07s[K
[5b691437]   batch    70/40434, avg_loss 3.4398E+02, penalty 1.3649E+02, cost 4.8046E+02, time   0.07s[K
[5b691437]   batch    71/40434, avg_loss 2.8380E+02, penalty 1.3649E+02, cost 4.2029E+02, time   0.07s[K
[5b691437]   batch    72/40434, avg_loss 2.8153E+02, penalty 1.3649E+02, cost 4.1802E+02, time   0.07s[K
[5b691437]   batch    73/40434, avg_loss 3.3030E+02, penalty 1.3649E+02, cost 4.6678E+02, time   0.07s[K
[5b691437]   batch    74/40434, avg_loss 3.0751E+02, penalty 1.3649E+02, cost 4.4399E+02, time   0.07s[K
[5b691437]   batch    75/40434, avg_loss 4.3100E+02, penalty 1.3649E+02, cost 5.6748E+02, time   0.07s[K
[5b691437]   batch    76/40434, avg_loss 2.0411E+02, penalty 1.3649E+02, cost 3.4060E+02, time   0.07s[K
[5b691437]   batch    77/40434, avg_loss 3.9642E+02, penalty 1.3649E+02, cost 5.3290E+02, time   0.07s[K
[5b691437]   batch    78/40434, avg_loss 2.5059E+02, penalty 1.3649E+02, cost 3.8707E+02, time   0.07s[K
[5b691437]   batch    79/40434, avg_loss 3.8554E+02, penalty 1.3649E+02, cost 5.2203E+02, time   0.07s[K
[5b691437]   batch    80/40434, avg_loss 4.4159E+02, penalty 1.3649E+02, cost 5.7808E+02, time   0.07s[K
