[ce3179e0]   size: 5175638
[ce3179e0]   split: train
[ce3179e0]   timestamp: 1694252356.9043162
[ce3179e0]   type: negative_sampling
[ce3179e0] Finished epoch 39.
[ce3179e0] Saving checkpoint to kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00039.pt...
[ce3179e0] Removing old checkpoint kge/local/experiments/20230811-091358-relational_tucker3_non-naive/00058/checkpoint_00038.pt...
[ce3179e0] Starting epoch 40...

[ce3179e0]   batch    47/40434, avg_loss 1.0230E+03, penalty 2.4040E-03, cost 1.0230E+03, time   0.07s[K
[ce3179e0]   batch    48/40434, avg_loss 7.2297E+02, penalty 2.4040E-03, cost 7.2297E+02, time   0.07s[K
[ce3179e0]   batch    49/40434, avg_loss 1.0256E+03, penalty 2.4040E-03, cost 1.0256E+03, time   0.07s[K
[ce3179e0]   batch    50/40434, avg_loss 9.3041E+02, penalty 2.4040E-03, cost 9.3042E+02, time   0.07s[K
[ce3179e0]   batch    51/40434, avg_loss 4.7664E+02, penalty 2.4040E-03, cost 4.7664E+02, time   0.07s[K
[ce3179e0]   batch    52/40434, avg_loss 1.3931E+03, penalty 2.4040E-03, cost 1.3931E+03, time   0.07s[K
[ce3179e0]   batch    53/40434, avg_loss 1.7010E+03, penalty 2.4040E-03, cost 1.7010E+03, time   0.07s[K
[ce3179e0]   batch    54/40434, avg_loss 1.0559E+03, penalty 2.4040E-03, cost 1.0559E+03, time   0.07s[K
[ce3179e0]   batch    55/40434, avg_loss 1.2106E+03, penalty 2.4040E-03, cost 1.2106E+03, time   0.07s[K
[ce3179e0]   batch    56/40434, avg_loss 1.0305E+03, penalty 2.4040E-03, cost 1.0305E+03, time   0.07s[K
[ce3179e0]   batch    57/40434, avg_loss 8.6813E+02, penalty 2.4040E-03, cost 8.6813E+02, time   0.07s[K
[ce3179e0]   batch    58/40434, avg_loss 1.1044E+03, penalty 2.4040E-03, cost 1.1044E+03, time   0.07s[K
[ce3179e0]   batch    59/40434, avg_loss 1.4261E+03, penalty 2.4040E-03, cost 1.4261E+03, time   0.07s[K
[ce3179e0]   batch    60/40434, avg_loss 7.0632E+02, penalty 2.4040E-03, cost 7.0632E+02, time   0.07s[K
[ce3179e0]   batch    61/40434, avg_loss 1.1552E+03, penalty 2.4040E-03, cost 1.1552E+03, time   0.07s[K
[ce3179e0]   batch    62/40434, avg_loss 6.1448E+02, penalty 2.4040E-03, cost 6.1448E+02, time   0.07s[K
[ce3179e0]   batch    63/40434, avg_loss 6.5578E+02, penalty 2.4040E-03, cost 6.5578E+02, time   0.07s[K
[ce3179e0]   batch    64/40434, avg_loss 1.3906E+03, penalty 2.4040E-03, cost 1.3906E+03, time   0.07s[K
[ce3179e0]   batch    65/40434, avg_loss 8.2581E+02, penalty 2.4040E-03, cost 8.2582E+02, time   0.07s[K
[ce3179e0]   batch    66/40434, avg_loss 6.6219E+02, penalty 2.4040E-03, cost 6.6220E+02, time   0.07s[K
[ce3179e0]   batch    67/40434, avg_loss 1.2273E+03, penalty 2.4040E-03, cost 1.2273E+03, time   0.07s[K
[ce3179e0]   batch    68/40434, avg_loss 7.3847E+02, penalty 2.4040E-03, cost 7.3848E+02, time   0.07s[K
[ce3179e0]   batch    69/40434, avg_loss 7.2431E+02, penalty 2.4040E-03, cost 7.2431E+02, time   0.07s[K
[ce3179e0]   batch    70/40434, avg_loss 1.3727E+03, penalty 2.4040E-03, cost 1.3727E+03, time   0.07s[K
[ce3179e0]   batch    71/40434, avg_loss 6.2164E+02, penalty 2.4040E-03, cost 6.2165E+02, time   0.07s[K
[ce3179e0]   batch    72/40434, avg_loss 1.1891E+03, penalty 2.4040E-03, cost 1.1891E+03, time   0.07s[K
[ce3179e0]   batch    73/40434, avg_loss 7.6647E+02, penalty 2.4040E-03, cost 7.6648E+02, time   0.07s[K
[ce3179e0]   batch    74/40434, avg_loss 1.0599E+03, penalty 2.4040E-03, cost 1.0599E+03, time   0.07s[K
[ce3179e0]   batch    75/40434, avg_loss 1.1863E+03, penalty 2.4040E-03, cost 1.1863E+03, time   0.07s[K
[ce3179e0]   batch    76/40434, avg_loss 6.9964E+02, penalty 2.4040E-03, cost 6.9964E+02, time   0.07s[K
[ce3179e0]   batch    77/40434, avg_loss 1.2241E+03, penalty 2.4040E-03, cost 1.2241E+03, time   0.07s[K
[ce3179e0]   batch    78/40434, avg_loss 1.0994E+03, penalty 2.4040E-03, cost 1.0994E+03, time   0.07s[K
[ce3179e0]   batch    79/40434, avg_loss 1.2529E+03, penalty 2.4040E-03, cost 1.2529E+03, time   0.07s[K
[ce3179e0]   batch    80/40434, avg_loss 1.1404E+03, penalty 2.4040E-03, cost 1.1404E+03, time   0.07s[K
[ce3179e0]   batch    81/40434, avg_loss 1.4895E+03, penalty 2.4040E-03, cost 1.4895E+03, time   0.07s[K
[ce3179e0]   batch    82/40434, avg_loss 1.0044E+03, penalty 2.4040E-03, cost 1.0044E+03, time   0.07s[K
[ce3179e0]   batch    83/40434, avg_loss 1.2007E+03, penalty 2.4040E-03, cost 1.2007E+03, time   0.07s[K
[ce3179e0]   batch    84/40434, avg_loss 1.2479E+03, penalty 2.4040E-03, cost 1.2479E+03, time   0.07s[K
[ce3179e0]   batch    85/40434, avg_loss 1.1289E+03, penalty 2.4040E-03, cost 1.1289E+03, time   0.07s[K
[ce3179e0]   batch    86/40434, avg_loss 9.3471E+02, penalty 2.4040E-03, cost 9.3472E+02, time   0.07s[K
[ce3179e0]   batch    87/40434, avg_loss 1.2382E+03, penalty 2.4040E-03, cost 1.2382E+03, time   0.07s[K
[ce3179e0]   batch    88/40434, avg_loss 1.0802E+03, penalty 2.4040E-03, cost 1.0802E+03, time   0.07s[K
[ce3179e0]   batch    89/40434, avg_loss 4.6078E+02, penalty 2.4040E-03, cost 4.6078E+02, time   0.07s[K
[ce3179e0]   batch    90/40434, avg_loss 9.6816E+02, penalty 2.4040E-03, cost 9.6817E+02, time   0.07s[K
[ce3179e0]   batch    91/40434, avg_loss 1.0244E+03, penalty 2.4040E-03, cost 1.0244E+03, time   0.07s[K
[ce3179e0]   batch    92/40434, avg_loss 5.5737E+02, penalty 2.4040E-03, cost 5.5737E+02, time   0.07s[K
[ce3179e0]   batch    93/40434, avg_loss 4.7120E+02, penalty 2.4040E-03, cost 4.7120E+02, time   0.07s[K
[ce3179e0]   batch    94/40434, avg_loss 8.9256E+02, penalty 2.4040E-03, cost 8.9256E+02, time   0.07s[K
[ce3179e0]   batch    95/40434, avg_loss 1.6631E+03, penalty 2.4040E-03, cost 1.6631E+03, time   0.07s[K
[ce3179e0]   batch    96/40434, avg_loss 1.1681E+03, penalty 2.4040E-03, cost 1.1681E+03, time   0.07s[K
[ce3179e0]   batch    97/40434, avg_loss 1.1373E+03, penalty 2.4040E-03, cost 1.1373E+03, time   0.07s[K
[ce3179e0]   batch    98/40434, avg_loss 1.1393E+03, penalty 2.4040E-03, cost 1.1393E+03, time   0.07s[K
[ce3179e0]   batch    99/40434, avg_loss 9.9479E+02, penalty 2.4040E-03, cost 9.9479E+02, time   0.07s[K
[ce3179e0]   batch   100/40434, avg_loss 6.4452E+02, penalty 2.4040E-03, cost 6.4453E+02, time   0.07s[K
[ce3179e0]   batch   101/40434, avg_loss 9.4539E+02, penalty 2.4040E-03, cost 9.4540E+02, time   0.07s[K
[ce3179e0]   batch   102/40434, avg_loss 1.0822E+03, penalty 2.4040E-03, cost 1.0822E+03, time   0.07s[K
[ce3179e0]   batch   103/40434, avg_loss 1.0427E+03, penalty 2.4040E-03, cost 1.0427E+03, time   0.07s[K
[ce3179e0]   batch   104/40434, avg_loss 1.8383E+03, penalty 2.4040E-03, cost 1.8383E+03, time   0.07s[K
[ce3179e0]   batch   105/40434, avg_loss 6.4200E+02, penalty 2.4040E-03, cost 6.4201E+02, time   0.07s[K
[ce3179e0]   batch   106/40434, avg_loss 1.0517E+03, penalty 2.4040E-03, cost 1.0517E+03, time   0.07s[K
[ce3179e0]   batch   107/40434, avg_loss 9.5942E+02, penalty 2.4040E-03, cost 9.5942E+02, time   0.07s[K
[ce3179e0]   batch   108/40434, avg_loss 1.1921E+03, penalty 2.4040E-03, cost 1.1921E+03, time   0.07s[K
[ce3179e0]   batch   109/40434, avg_loss 8.2766E+02, penalty 2.4040E-03, cost 8.2767E+02, time   0.07s[K
[ce3179e0]   batch   110/40434, avg_loss 1.4388E+03, penalty 2.4040E-03, cost 1.4388E+03, time   0.07s[K
[ce3179e0]   batch   111/40434, avg_loss 1.0122E+03, penalty 2.4040E-03, cost 1.0122E+03, time   0.07s[K
[ce3179e0]   batch   112/40434, avg_loss 1.4254E+03, penalty 2.4040E-03, cost 1.4254E+03, time   0.07s[K
[ce3179e0]   batch   113/40434, avg_loss 1.1884E+03, penalty 2.4040E-03, cost 1.1884E+03, time   0.07s[K
[ce3179e0]   batch   114/40434, avg_loss 1.2056E+03, penalty 2.4040E-03, cost 1.2056E+03, time   0.07s[K
[ce3179e0]   batch   115/40434, avg_loss 9.6081E+02, penalty 2.4040E-03, cost 9.6081E+02, time   0.07s[K
