[52d34630]   size: 5175638
[52d34630]   split: train
[52d34630]   timestamp: 1692578274.4507034
[52d34630]   type: 1vsAll
[52d34630] Finished epoch 123.
[52d34630] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00123.pt...
[52d34630] Removing old checkpoint /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00122.pt...
[52d34630] Starting epoch 124...

[52d34630]   batch    49/40434, avg_loss 1.2848E+01, penalty 1.3717E-12, cost 1.2848E+01, time   0.01s[K
[52d34630]   batch    50/40434, avg_loss 1.2177E+01, penalty 1.0876E-12, cost 1.2177E+01, time   0.01s[K
[52d34630]   batch    51/40434, avg_loss 1.1809E+01, penalty 9.6127E-13, cost 1.1809E+01, time   0.01s[K
[52d34630]   batch    52/40434, avg_loss 1.2918E+01, penalty 1.1829E-12, cost 1.2918E+01, time   0.01s[K
[52d34630]   batch    53/40434, avg_loss 1.2002E+01, penalty 1.1819E-12, cost 1.2002E+01, time   0.01s[K
[52d34630]   batch    54/40434, avg_loss 1.2310E+01, penalty 1.2138E-12, cost 1.2310E+01, time   0.01s[K
[52d34630]   batch    55/40434, avg_loss 1.2461E+01, penalty 1.1824E-12, cost 1.2461E+01, time   0.01s[K
[52d34630]   batch    56/40434, avg_loss 1.2388E+01, penalty 1.2788E-12, cost 1.2388E+01, time   0.01s[K
[52d34630]   batch    57/40434, avg_loss 1.2805E+01, penalty 1.1181E-12, cost 1.2805E+01, time   0.01s[K
[52d34630]   batch    58/40434, avg_loss 1.2409E+01, penalty 1.2785E-12, cost 1.2409E+01, time   0.01s[K
[52d34630]   batch    59/40434, avg_loss 1.1931E+01, penalty 8.9644E-13, cost 1.1931E+01, time   0.01s[K
[52d34630]   batch    60/40434, avg_loss 1.2280E+01, penalty 1.2469E-12, cost 1.2280E+01, time   0.01s[K
[52d34630]   batch    61/40434, avg_loss 1.2534E+01, penalty 1.1493E-12, cost 1.2534E+01, time   0.01s[K
[52d34630]   batch    62/40434, avg_loss 1.2128E+01, penalty 1.1190E-12, cost 1.2128E+01, time   0.01s[K
[52d34630]   batch    63/40434, avg_loss 1.2402E+01, penalty 1.3404E-12, cost 1.2402E+01, time   0.01s[K
[52d34630]   batch    64/40434, avg_loss 1.2236E+01, penalty 1.2130E-12, cost 1.2236E+01, time   0.01s[K
[52d34630]   batch    65/40434, avg_loss 1.2487E+01, penalty 1.2142E-12, cost 1.2487E+01, time   0.01s[K
[52d34630]   batch    66/40434, avg_loss 1.1964E+01, penalty 1.1210E-12, cost 1.1964E+01, time   0.01s[K
[52d34630]   batch    67/40434, avg_loss 1.2077E+01, penalty 1.1199E-12, cost 1.2077E+01, time   0.01s[K
[52d34630]   batch    68/40434, avg_loss 1.2257E+01, penalty 9.6120E-13, cost 1.2257E+01, time   0.01s[K
[52d34630]   batch    69/40434, avg_loss 1.2736E+01, penalty 1.0857E-12, cost 1.2736E+01, time   0.01s[K
[52d34630]   batch    70/40434, avg_loss 1.2610E+01, penalty 1.3726E-12, cost 1.2610E+01, time   0.01s[K
[52d34630]   batch    71/40434, avg_loss 1.2167E+01, penalty 1.1815E-12, cost 1.2167E+01, time   0.01s[K
[52d34630]   batch    72/40434, avg_loss 1.2455E+01, penalty 1.2784E-12, cost 1.2455E+01, time   0.01s[K
[52d34630]   batch    73/40434, avg_loss 1.2527E+01, penalty 1.2470E-12, cost 1.2527E+01, time   0.01s[K
[52d34630]   batch    74/40434, avg_loss 1.2868E+01, penalty 1.4360E-12, cost 1.2868E+01, time   0.01s[K
[52d34630]   batch    75/40434, avg_loss 1.2330E+01, penalty 1.0874E-12, cost 1.2330E+01, time   0.01s[K
[52d34630]   batch    76/40434, avg_loss 1.2313E+01, penalty 1.1514E-12, cost 1.2313E+01, time   0.01s[K
[52d34630]   batch    77/40434, avg_loss 1.2182E+01, penalty 1.1189E-12, cost 1.2182E+01, time   0.01s[K
[52d34630]   batch    78/40434, avg_loss 1.2732E+01, penalty 1.4375E-12, cost 1.2732E+01, time   0.01s[K
[52d34630]   batch    79/40434, avg_loss 1.2362E+01, penalty 1.2446E-12, cost 1.2362E+01, time   0.01s[K
[52d34630]   batch    80/40434, avg_loss 1.2702E+01, penalty 1.4062E-12, cost 1.2702E+01, time   0.01s[K
[52d34630]   batch    81/40434, avg_loss 1.2029E+01, penalty 1.1829E-12, cost 1.2029E+01, time   0.01s[K
[52d34630]   batch    82/40434, avg_loss 1.1832E+01, penalty 9.9226E-13, cost 1.1832E+01, time   0.01s[K
[52d34630]   batch    83/40434, avg_loss 1.2482E+01, penalty 1.2782E-12, cost 1.2482E+01, time   0.01s[K
[52d34630]   batch    84/40434, avg_loss 1.2554E+01, penalty 1.2783E-12, cost 1.2554E+01, time   0.01s[K
[52d34630]   batch    85/40434, avg_loss 1.2531E+01, penalty 1.2765E-12, cost 1.2531E+01, time   0.01s[K
[52d34630]   batch    86/40434, avg_loss 1.2438E+01, penalty 1.2457E-12, cost 1.2438E+01, time   0.01s[K
[52d34630]   batch    87/40434, avg_loss 1.2518E+01, penalty 1.3096E-12, cost 1.2518E+01, time   0.01s[K
[52d34630]   batch    88/40434, avg_loss 1.2992E+01, penalty 1.3732E-12, cost 1.2992E+01, time   0.01s[K
[52d34630]   batch    89/40434, avg_loss 1.2592E+01, penalty 1.4353E-12, cost 1.2592E+01, time   0.01s[K
[52d34630]   batch    90/40434, avg_loss 1.2312E+01, penalty 1.3098E-12, cost 1.2312E+01, time   0.01s[K
[52d34630]   batch    91/40434, avg_loss 1.2079E+01, penalty 9.2945E-13, cost 1.2079E+01, time   0.01s[K
[52d34630]   batch    92/40434, avg_loss 1.1775E+01, penalty 9.9182E-13, cost 1.1775E+01, time   0.01s[K
[52d34630]   batch    93/40434, avg_loss 1.1898E+01, penalty 8.6543E-13, cost 1.1898E+01, time   0.01s[K
[52d34630]   batch    94/40434, avg_loss 1.2158E+01, penalty 1.0864E-12, cost 1.2158E+01, time   0.01s[K
[52d34630]   batch    95/40434, avg_loss 1.2516E+01, penalty 1.4668E-12, cost 1.2516E+01, time   0.01s[K
[52d34630]   batch    96/40434, avg_loss 1.2343E+01, penalty 1.1502E-12, cost 1.2343E+01, time   0.01s[K
[52d34630]   batch    97/40434, avg_loss 1.2674E+01, penalty 1.2449E-12, cost 1.2674E+01, time   0.01s[K
[52d34630]   batch    98/40434, avg_loss 1.2131E+01, penalty 8.0047E-13, cost 1.2131E+01, time   0.01s[K
[52d34630]   batch    99/40434, avg_loss 1.2628E+01, penalty 1.6285E-12, cost 1.2628E+01, time   0.01s[K
