[0fa6a4e3]   size: 215652
[0fa6a4e3]   split: valid
[0fa6a4e3]   timestamp: 1693212627.2210078
[0fa6a4e3]   type: entity_ranking
[0fa6a4e3] Finished evaluating on valid split.
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00235.pt...
[792063f5] Removing old checkpoint kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_00234.pt...
[792063f5] Saving checkpoint to kge/local/experiments/20230810-154100-complex_non-naive/00075/checkpoint_best.pt...
[792063f5] Starting epoch 236...

[792063f5]   batch    48/40434, avg_loss 1.5695E+01, penalty 1.6187E-07, cost 1.5695E+01, time   0.01s[K
[792063f5]   batch    49/40434, avg_loss 1.6336E+01, penalty 1.8808E-07, cost 1.6336E+01, time   0.01s[K
[792063f5]   batch    50/40434, avg_loss 1.5899E+01, penalty 1.5824E-07, cost 1.5899E+01, time   0.01s[K
[792063f5]   batch    51/40434, avg_loss 1.5925E+01, penalty 1.4687E-07, cost 1.5925E+01, time   0.01s[K
[792063f5]   batch    52/40434, avg_loss 1.5769E+01, penalty 1.6571E-07, cost 1.5769E+01, time   0.01s[K
[792063f5]   batch    53/40434, avg_loss 1.5675E+01, penalty 1.7642E-07, cost 1.5675E+01, time   0.01s[K
[792063f5]   batch    54/40434, avg_loss 1.5305E+01, penalty 1.2813E-07, cost 1.5305E+01, time   0.01s[K
[792063f5]   batch    55/40434, avg_loss 1.5902E+01, penalty 1.7311E-07, cost 1.5902E+01, time   0.01s[K
[792063f5]   batch    56/40434, avg_loss 1.5186E+01, penalty 1.5414E-07, cost 1.5186E+01, time   0.01s[K
[792063f5]   batch    57/40434, avg_loss 1.5638E+01, penalty 1.4291E-07, cost 1.5638E+01, time   0.01s[K
[792063f5]   batch    58/40434, avg_loss 1.5969E+01, penalty 1.6597E-07, cost 1.5969E+01, time   0.01s[K
[792063f5]   batch    59/40434, avg_loss 1.6308E+01, penalty 1.7689E-07, cost 1.6308E+01, time   0.01s[K
[792063f5]   batch    60/40434, avg_loss 1.5688E+01, penalty 1.4675E-07, cost 1.5688E+01, time   0.01s[K
[792063f5]   batch    61/40434, avg_loss 1.5482E+01, penalty 1.4676E-07, cost 1.5482E+01, time   0.01s[K
[792063f5]   batch    62/40434, avg_loss 1.5641E+01, penalty 1.3547E-07, cost 1.5641E+01, time   0.01s[K
[792063f5]   batch    63/40434, avg_loss 1.6043E+01, penalty 1.6919E-07, cost 1.6043E+01, time   0.01s[K
[792063f5]   batch    64/40434, avg_loss 1.5358E+01, penalty 1.2446E-07, cost 1.5358E+01, time   0.01s[K
[792063f5]   batch    65/40434, avg_loss 1.5747E+01, penalty 1.5771E-07, cost 1.5747E+01, time   0.01s[K
[792063f5]   batch    66/40434, avg_loss 1.5295E+01, penalty 1.6129E-07, cost 1.5295E+01, time   0.01s[K
[792063f5]   batch    67/40434, avg_loss 1.5827E+01, penalty 1.6115E-07, cost 1.5827E+01, time   0.01s[K
[792063f5]   batch    68/40434, avg_loss 1.5929E+01, penalty 1.3173E-07, cost 1.5929E+01, time   0.01s[K
[792063f5]   batch    69/40434, avg_loss 1.5736E+01, penalty 1.3957E-07, cost 1.5736E+01, time   0.01s[K
[792063f5]   batch    70/40434, avg_loss 1.5494E+01, penalty 1.6156E-07, cost 1.5494E+01, time   0.01s[K
[792063f5]   batch    71/40434, avg_loss 1.5392E+01, penalty 1.3552E-07, cost 1.5392E+01, time   0.01s[K
[792063f5]   batch    72/40434, avg_loss 1.6045E+01, penalty 1.5022E-07, cost 1.6045E+01, time   0.01s[K
[792063f5]   batch    73/40434, avg_loss 1.6061E+01, penalty 1.7676E-07, cost 1.6061E+01, time   0.01s[K
[792063f5]   batch    74/40434, avg_loss 1.5634E+01, penalty 1.2787E-07, cost 1.5634E+01, time   0.01s[K
[792063f5]   batch    75/40434, avg_loss 1.5610E+01, penalty 1.3143E-07, cost 1.5610E+01, time   0.01s[K
[792063f5]   batch    76/40434, avg_loss 1.5522E+01, penalty 1.5059E-07, cost 1.5522E+01, time   0.01s[K
[792063f5]   batch    77/40434, avg_loss 1.6184E+01, penalty 1.6571E-07, cost 1.6184E+01, time   0.01s[K
[792063f5]   batch    78/40434, avg_loss 1.5981E+01, penalty 1.4719E-07, cost 1.5981E+01, time   0.01s[K
