[98972361]   size: 5175638
[98972361]   split: train
[98972361]   timestamp: 1693212599.0646005
[98972361]   type: 1vsAll
[98972361] Finished epoch 8.
[98972361] Saving checkpoint to kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00008.pt...
[98972361] Removing old checkpoint kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00007.pt...
[98972361] Starting epoch 9...

[98972361]   batch    50/40434, avg_loss 1.6316E+01, penalty 7.4394E-08, cost 1.6316E+01, time   0.01s[K
[98972361]   batch    51/40434, avg_loss 1.6261E+01, penalty 6.5313E-08, cost 1.6261E+01, time   0.01s[K
[98972361]   batch    52/40434, avg_loss 1.5931E+01, penalty 6.8025E-08, cost 1.5931E+01, time   0.01s[K
[98972361]   batch    53/40434, avg_loss 1.6152E+01, penalty 6.9102E-08, cost 1.6152E+01, time   0.01s[K
[98972361]   batch    54/40434, avg_loss 1.6256E+01, penalty 7.5135E-08, cost 1.6256E+01, time   0.01s[K
[98972361]   batch    55/40434, avg_loss 1.6343E+01, penalty 7.1970E-08, cost 1.6343E+01, time   0.01s[K
[98972361]   batch    56/40434, avg_loss 1.5819E+01, penalty 6.6806E-08, cost 1.5819E+01, time   0.01s[K
[98972361]   batch    57/40434, avg_loss 1.6062E+01, penalty 6.7161E-08, cost 1.6062E+01, time   0.01s[K
[98972361]   batch    58/40434, avg_loss 1.6153E+01, penalty 6.8816E-08, cost 1.6153E+01, time   0.01s[K
[98972361]   batch    59/40434, avg_loss 1.5380E+01, penalty 5.9437E-08, cost 1.5380E+01, time   0.01s[K
[98972361]   batch    60/40434, avg_loss 1.6379E+01, penalty 7.7952E-08, cost 1.6379E+01, time   0.01s[K
[98972361]   batch    61/40434, avg_loss 1.6650E+01, penalty 6.3061E-08, cost 1.6650E+01, time   0.01s[K
[98972361]   batch    62/40434, avg_loss 1.6621E+01, penalty 7.7008E-08, cost 1.6621E+01, time   0.01s[K
[98972361]   batch    63/40434, avg_loss 1.5234E+01, penalty 6.2509E-08, cost 1.5234E+01, time   0.01s[K
[98972361]   batch    64/40434, avg_loss 1.6529E+01, penalty 7.4883E-08, cost 1.6529E+01, time   0.01s[K
[98972361]   batch    65/40434, avg_loss 1.5666E+01, penalty 6.0161E-08, cost 1.5666E+01, time   0.01s[K
[98972361]   batch    66/40434, avg_loss 1.6124E+01, penalty 7.4380E-08, cost 1.6124E+01, time   0.01s[K
[98972361]   batch    67/40434, avg_loss 1.5871E+01, penalty 6.7629E-08, cost 1.5871E+01, time   0.01s[K
[98972361]   batch    68/40434, avg_loss 1.5940E+01, penalty 6.8861E-08, cost 1.5940E+01, time   0.01s[K
[98972361]   batch    69/40434, avg_loss 1.6171E+01, penalty 7.1184E-08, cost 1.6171E+01, time   0.01s[K
[98972361]   batch    70/40434, avg_loss 1.6608E+01, penalty 6.6606E-08, cost 1.6608E+01, time   0.01s[K
[98972361]   batch    71/40434, avg_loss 1.6316E+01, penalty 7.3001E-08, cost 1.6316E+01, time   0.01s[K
[98972361]   batch    72/40434, avg_loss 1.5916E+01, penalty 6.9169E-08, cost 1.5916E+01, time   0.01s[K
[98972361]   batch    73/40434, avg_loss 1.6273E+01, penalty 7.2146E-08, cost 1.6273E+01, time   0.01s[K
[98972361]   batch    74/40434, avg_loss 1.5882E+01, penalty 6.4092E-08, cost 1.5882E+01, time   0.01s[K
[98972361]   batch    75/40434, avg_loss 1.5233E+01, penalty 5.8475E-08, cost 1.5233E+01, time   0.01s[K
[98972361]   batch    76/40434, avg_loss 1.6125E+01, penalty 6.2361E-08, cost 1.6125E+01, time   0.01s[K
[98972361]   batch    77/40434, avg_loss 1.5940E+01, penalty 6.6684E-08, cost 1.5940E+01, time   0.01s[K
[98972361]   batch    78/40434, avg_loss 1.5861E+01, penalty 6.6911E-08, cost 1.5861E+01, time   0.01s[K
[98972361]   batch    79/40434, avg_loss 1.6167E+01, penalty 6.8599E-08, cost 1.6167E+01, time   0.01s[K
[98972361]   batch    80/40434, avg_loss 1.5618E+01, penalty 6.5715E-08, cost 1.5618E+01, time   0.01s[K
[98972361]   batch    81/40434, avg_loss 1.6160E+01, penalty 6.8435E-08, cost 1.6160E+01, time   0.01s[K
[98972361]   batch    82/40434, avg_loss 1.6062E+01, penalty 6.4235E-08, cost 1.6062E+01, time   0.01s[K
[98972361]   batch    83/40434, avg_loss 1.6017E+01, penalty 6.8144E-08, cost 1.6017E+01, time   0.01s[K
