job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,complex.entity_embedder.regularize_weight,complex.relation_embedder.regularize_weight,complex.entity_embedder.dropout,complex.relation_embedder.dropout
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0647122238940305,0,27b253b9,512,negative_sampling,Adamax,kl,0.0033191818579780515,9,64,lp,False,2.291955701264697e-13,2.042348182011728e-13,0.42711868695914745,0.10019855201244354
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0663739215033188,1,3588103c,256,1vsAll,AdamW,se,0.0006656776610925722,4,32,lp,True,8.595111818371843e-17,0.0032211805511770703,0.3128610975109041,0.3342108796350658
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0100181752804722,2,5cc99cb7,128,negative_sampling,Adam,bce,0.02465207596943842,8,256,lp,False,3.735250792002936e-08,1.1146688433763332e-17,0.06717623537406325,0.17905125161632895
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.002187621815482,3,d2fd03f9,128,1vsAll,RMSprop,se,0.055299415137681156,10,256,lp,True,5.4203518168381357e-11,3.165705933953658e-20,0.29662754526361823,0.008682558313012123
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0083785817575445,4,c5aaf510,256,negative_sampling,Adadelta,kl,0.001694960518225662,6,64,,False,2.0864599112694384e-18,3.73062793547692e-06,0.04214599123224616,0.47805122658610344
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0391963863438247,5,6fcc3753,512,1vsAll,AdamW,bce,0.007213131414540305,7,32,lp,True,2.808642918575389e-15,5.953271720257439e-15,0.21695090271532536,0.21206405339762568
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0620846198722625,6,c4177400,128,KvsAll,Adadelta,se,0.7369787382966139,3,128,lp,False,6.497012832546082e-05,4.2075083747695147e-10,0.4636194799095392,0.30495083099231124
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.041322685344037,7,817b7260,128,1vsAll,RMSprop,bce,0.01193626155893054,6,64,,True,0.0007012733845787509,4.6606330748697195e-17,0.25522487377747893,0.35589822102338076
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0754852365673164,8,7ef2d078,512,KvsAll,Adadelta,se,0.44250026699624484,10,512,lp,False,2.4977564401711624e-11,0.011863973654194377,0.001765658613294363,0.13776688557118177
00a21910,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,complex,0,search,KvsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0699219176645997,9,b2f2a882,512,KvsAll,AdamW,kl,0.09205739879774685,3,256,lp,True,1.0518909510867686e-17,1.1567795842813606e-11,0.23907057009637356,0.4352562469430268
