job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,distmult.entity_embedder.regularize_weight,distmult.relation_embedder.regularize_weight,distmult.entity_embedder.dropout,distmult.relation_embedder.dropout
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,15,,,,mean_reciprocal_rank_filtered_with_test,0.0043661758941662,15,ec4c3e72,256,KvsAll,AdamW,bce,0.9175604600023761,8,128,,False,1.6631579782432901e-06,3.743846414438223e-05,0.1095736506395042,0.23439195612445474
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0313964059888604,16,a48cafc3,512,negative_sampling,RMSprop,se,0.010202611496469872,4,512,lp,True,4.687461997418687e-18,2.683228495719375e-19,0.3639045241288841,0.2669912506826222
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0653055395523057,17,23f352a0,256,1vsAll,Adamax,kl,0.0021185856924469003,9,256,lp,False,5.566397679138359e-12,3.0020232989902728e-09,0.37659958004951477,0.032986476086080074
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0201572765263687,18,694aae53,128,negative_sampling,Adadelta,bce,0.07853109216633376,5,32,lp,True,0.0022119448835023706,3.582745354686257e-14,0.1300816833972931,0.4381308937445283
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0414376141157293,19,e0098ca5,128,1vsAll,Adam,kl,0.01743467348372102,3,64,lp,False,3.4869168534473317e-06,8.053683730951644e-12,0.482676912099123,0.37411594623699784
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,10,,,,mean_reciprocal_rank_filtered_with_test,0.0057538465276103,20,a028375d,512,KvsAll,Adadelta,bce,0.0005339571256835009,7,512,,True,1.2439150337313038e-13,2.7516843238293965e-07,0.22933070734143257,0.1547626000829041
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,1vsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0101389643971804,21,80a8ed1b,512,1vsAll,Adadelta,bce,0.0023382161295623922,6,128,lp,False,5.2877687172240166e-20,3.125114241701785e-16,0.031088269781321287,0.42075737100094557
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,45,,,,mean_reciprocal_rank_filtered_with_test,0.0003552091120125,22,c8fca333,256,negative_sampling,AdamW,se,0.23868020241312185,10,32,lp,True,1.3234711206723758e-09,0.07597078311506805,0.2766224513761699,0.07785539794713259
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,negative_sampling,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0480084132658633,23,d9f090d2,128,negative_sampling,AdamW,kl,0.0038870466315273,7,512,,False,1.0886682710054465e-08,5.791789373175164e-16,0.4420330747961998,0.02690413361415267
dc28e640,/bp1/mrcieu1/users/fu19841/kge/data/non-naive,distmult,0,search,KvsAll,valid,55,,,,mean_reciprocal_rank_filtered_with_test,0.0468181916829983,24,578db81d,512,KvsAll,Adamax,kl,0.1439322393851745,3,64,lp,True,4.1951461047697646e-16,5.0851685134605015e-11,0.18769504874944687,0.49505078373476863
